frequency_hz,magnitude_db,phase_degrees
0.000000,-199.288888,0.000000
2.929688,-50.226975,89.823488
5.859375,-44.206499,89.646979
8.789062,-40.684879,89.470477
11.718750,-38.186392,89.293985
14.648438,-36.248562,89.117506
17.578125,-34.665389,88.941044
20.507812,-33.326987,88.764602
23.437500,-32.167765,88.588183
26.367188,-31.145413,88.411791
29.296875,-30.231043,88.235429
32.226562,-29.404052,88.059100
35.156250,-28.649225,87.882808
38.085938,-27.955010,87.706556
41.015625,-27.312424,87.530347
43.945312,-26.714349,87.354185
46.875000,-26.155046,87.178072
49.804688,-25.629821,87.002013
52.734375,-25.134784,86.826010
55.664062,-24.666678,86.650067
58.593750,-24.222748,86.474186
61.523438,-23.800641,86.298372
64.453125,-23.398333,86.122628
67.382812,-23.014071,85.946956
70.312500,-22.646326,85.771360
73.242188,-22.293753,85.595844
76.171875,-21.955170,85.420410
79.101562,-21.629527,85.245061
82.031250,-21.315886,85.069802
84.960938,-21.013412,84.894634
87.890625,-20.721353,84.719562
90.820312,-20.439030,84.544588
93.750000,-20.165831,84.369716
96.679688,-19.901197,84.194949
99.609375,-19.644623,84.020289
102.539062,-19.395646,83.845741
105.468750,-19.153841,83.671307
108.398438,-18.918820,83.496990
111.328125,-18.690226,83.322793
114.257812,-18.467727,83.148720
117.187500,-18.251020,82.974773
120.117188,-18.039822,82.800956
123.046875,-17.833871,82.627271
125.976562,-17.632923,82.453722
128.906250,-17.436753,82.280312
131.835938,-17.245148,82.107043
134.765625,-17.057911,81.933919
137.695312,-16.874857,81.760942
140.625000,-16.695813,81.588116
143.554688,-16.520617,81.415443
146.484375,-16.349117,81.242927
149.414062,-16.181168,81.070570
152.343750,-16.016635,80.898375
155.273438,-15.855392,80.726345
158.203125,-15.697317,80.554483
161.132812,-15.542297,80.382791
164.062500,-15.390224,80.211273
166.992188,-15.240997,80.039932
169.921875,-15.094518,79.868769
172.851562,-14.950697,79.697788
175.781250,-14.809446,79.526992
178.710938,-14.670682,79.356383
181.640625,-14.534327,79.185964
184.570312,-14.400306,79.015737
187.500000,-14.268547,78.845706
190.429688,-14.138981,78.675873
193.359375,-14.011545,78.506241
196.289062,-13.886176,78.336811
199.218750,-13.762814,78.167588
202.148438,-13.641404,77.998572
205.078125,-13.521889,77.829768
208.007812,-13.404220,77.661177
210.937500,-13.288344,77.492802
