frequency_hz,magnitude_db,phase_degrees
0.000000,-150.485902,179.999991
2.929688,-93.649848,179.415136
5.859375,-81.638906,178.957978
8.789062,-74.598251,178.417956
11.718750,-69.599648,177.914065
14.648438,-65.724521,177.393181
17.578125,-62.559226,176.870003
20.507812,-59.885429,176.350184
23.437500,-57.567621,175.829710
26.367188,-55.525018,175.307242
29.296875,-53.698034,174.790401
32.226562,-52.046069,174.268944
35.156250,-50.538575,173.749125
38.085938,-49.152725,173.230509
41.015625,-47.870325,172.710595
43.945312,-46.676994,172.190449
46.875000,-45.561283,171.672761
49.804688,-44.514004,171.154992
52.734375,-43.527392,170.636075
55.664062,-42.594663,170.118634
58.593750,-41.710517,169.601288
61.523438,-40.870336,169.084502
64.453125,-40.069876,168.567921
67.382812,-39.305615,168.051832
70.312500,-38.574665,167.536467
73.242188,-37.874158,167.021293
76.171875,-37.201901,166.506994
79.101562,-36.555686,165.992803
82.031250,-35.933639,165.479760
84.960938,-35.334124,164.966991
87.890625,-34.755552,164.454658
90.820312,-34.196694,163.943309
93.750000,-33.656273,163.432589
96.679688,-33.133130,162.922237
99.609375,-32.626260,162.412719
102.539062,-32.134802,161.903788
105.468750,-31.657870,161.395717
108.398438,-31.194656,160.888289
111.328125,-30.744469,160.381557
114.257812,-30.306639,159.875645
117.187500,-29.880566,159.370675
120.117188,-29.465691,158.866416
123.046875,-29.061461,158.362895
125.976562,-28.667416,157.860302
128.906250,-28.283064,157.358556
131.835938,-27.908051,156.857644
134.765625,-27.541903,156.357606
137.695312,-27.184294,155.858647
140.625000,-26.834850,155.360398
143.554688,-26.493301,154.863352
146.484375,-26.159237,154.367097
149.414062,-25.832469,153.871676
152.343750,-25.512684,153.377512
155.273438,-25.199625,152.884277
158.203125,-24.893045,152.391943
161.132812,-24.592726,151.900784
164.062500,-24.298452,151.410595
166.992188,-24.010027,150.921445
169.921875,-23.727218,150.433455
172.851562,-23.449894,149.946503
175.781250,-23.177832,149.460686
178.710938,-22.910893,148.975947
181.640625,-22.648901,148.492370
184.570312,-22.391725,148.010008
187.500000,-22.139200,147.528671
190.429688,-21.891194,147.048618
193.359375,-21.647575,146.569644
196.289062,-21.408231,146.091927
199.218750,-21.173023,145.615385
202.148438,-20.941844,145.140140
205.078125,-20.714584,144.666057
208.007812,-20.491131,144.193257
210.937500,-20.271397,143.721701
213.867188,-20.055266,143.251388
216.796875,-19.842672,142.782400
219.726562,-19.633490,142.314668
222.656250,-19.427651,141.848235
225.585938,-19.225074,141.383140
228.515625,-19.025674,140.919343
231.445312,-18.829391,140.456843
234.375000,-18.636125,139.995683
237.304688,-18.445830,139.535888
240.234375,-18.258414,139.077473
243.164062,-18.073817,138.620328
246.093750,-17.891986,138.164646
249.023438,-17.712847,137.710329
251.953125,-17.536346,137.257310
254.882812,-17.362418,136.805779
257.812500,-17.191011,136.355615
260.742188,-17.022080,135.906858
263.671875,-16.855561,135.459549
266.601562,-16.691402,135.013633
269.531250,-16.529559,134.569152
272.460938,-16.369983,134.126091
275.390625,-16.212632,133.684506
278.320312,-16.057451,133.244369
281.250000,-15.904409,132.805652
284.179688,-15.753454,132.368397
287.109375,-15.604548,131.932644
290.039062,-15.457651,131.498340
292.968750,-15.312722,131.065484
295.898438,-15.169731,130.634171
298.828125,-15.028632,130.204279
301.757812,-14.889398,129.775889
304.687500,-14.751985,129.349002
307.617188,-14.616369,128.923605
310.546875,-14.482510,128.499723
313.476562,-14.350380,128.077330
316.406250,-14.219948,127.656454
319.335938,-14.091180,127.237094
322.265625,-13.964047,126.819251
325.195312,-13.838524,126.402910
328.125000,-13.714582,125.988085
331.054688,-13.592190,125.574790
333.984375,-13.471331,125.163012
336.914062,-13.351966,124.752763
339.843750,-13.234078,124.344045
342.773438,-13.117634,123.936883
345.703125,-13.002624,123.531197
348.632812,-12.889012,123.127055
351.562500,-12.776776,122.724484
354.492188,-12.665896,122.323429
357.421875,-12.556359,121.923917
360.351562,-12.448126,121.525922
363.281250,-12.341183,121.129498
366.210938,-12.235516,120.734577
369.140625,-12.131100,120.341199
372.070312,-12.027913,119.949392
375.000000,-11.925943,119.559087
377.929688,-11.825159,119.170340
380.859375,-11.725548,118.783137
383.789062,-11.627098,118.397463
386.718750,-11.529784,118.013334
389.648438,-11.433595,117.630734
392.578125,-11.338506,117.249650
395.507812,-11.244507,116.870137
398.437500,-11.151578,116.492155
401.367188,-11.059707,116.115675
404.296875,-10.968872,115.740752
407.226562,-10.879064,115.367359
410.156250,-10.790264,114.995483
413.085938,-10.702458,114.625150
416.015625,-10.615633,114.256333
418.945312,-10.529774,113.889040
421.875000,-10.444867,113.523263
424.804688,-10.360895,113.159009
427.734375,-10.277852,112.796305
430.664062,-10.195720,112.435084
433.593750,-10.114484,112.075372
436.523438,-10.034137,111.717190
439.453125,-9.954666,111.360490
442.382812,-9.876052,111.005334
445.312500,-9.798290,110.651653
448.242188,-9.721365,110.299489
451.171875,-9.645267,109.948813
454.101562,-9.569983,109.599613
457.031250,-9.495504,109.251936
459.960938,-9.421816,108.905720
462.890625,-9.348913,108.560994
465.820312,-9.276778,108.217756
468.750000,-9.205407,107.876001
471.679688,-9.134784,107.535707
474.609375,-9.064905,107.196889
477.539062,-8.995754,106.859532
480.468750,-8.927328,106.523644
483.398438,-8.859609,106.189217
486.328125,-8.792595,105.856259
489.257812,-8.726274,105.524715
492.187500,-8.660638,105.194660
495.117188,-8.595678,104.866032
498.046875,-8.531382,104.538832
500.976562,-8.467744,104.213087
503.906250,-8.404756,103.888748
506.835938,-8.342407,103.565865
509.765625,-8.280694,103.244381
512.695312,-8.219603,102.924319
515.625000,-8.159132,102.605677
518.554688,-8.099265,102.288449
521.484375,-8.040002,101.972621
524.414062,-7.981332,101.658186
527.343750,-7.923247,101.345152
530.273438,-7.865743,101.033511
533.203125,-7.808808,100.723249
536.132812,-7.752438,100.414374
539.062500,-7.696626,100.106879
