frequency_hz,magnitude_db,phase_degrees
0.000000,-199.999999,0.000000
2.929688,-44.131522,89.644061
5.859375,-38.111234,89.287983
8.789062,-34.589865,88.931850
11.718750,-32.091743,88.575826
14.648438,-30.154372,88.219802
17.578125,-28.571775,87.863854
20.507812,-27.234050,87.507981
23.437500,-26.075605,87.152162
26.367188,-25.054136,86.796391
29.296875,-24.140749,86.440750
32.226562,-23.314848,86.085143
35.156250,-22.561213,85.729645
38.085938,-21.868295,85.374284
41.015625,-21.227106,85.019046
43.945312,-20.630532,84.663910
46.875000,-20.072834,84.308925
49.804688,-19.549315,83.954090
52.734375,-19.056085,83.599398
55.664062,-18.589894,83.244870
58.593750,-18.147974,82.890520
61.523438,-17.727981,82.536327
64.453125,-17.327889,82.182359
67.382812,-16.945944,81.828562
70.312500,-16.580616,81.474991
73.242188,-16.230562,81.121631
76.171875,-15.894598,80.768483
79.101562,-15.571674,80.415567
82.031250,-15.260852,80.062917
84.960938,-14.961296,79.710493
87.890625,-14.672254,79.358342
90.820312,-14.393048,79.006458
93.750000,-14.123064,78.654826
96.679688,-13.861742,78.303502
99.609375,-13.608580,77.952457
102.539062,-13.363111,77.601720
105.468750,-13.124911,77.251284
108.398438,-12.893593,76.901175
111.328125,-12.668798,76.551374
114.257812,-12.450194,76.201921
117.187500,-12.237476,75.852796
120.117188,-12.030363,75.504026
123.046875,-11.828593,75.155604
125.976562,-11.631919,74.807551
128.906250,-11.440116,74.459881
131.835938,-11.252973,74.112566
134.765625,-11.070290,73.765654
137.695312,-10.891883,73.419131
140.625000,-10.717579,73.073011
143.554688,-10.547212,72.727308
146.484375,-10.380632,72.382014
149.414062,-10.217695,72.037138
152.343750,-10.058265,71.692698
155.273438,-9.902214,71.348689
158.203125,-9.749418,71.005130
161.132812,-9.599769,70.662016
164.062500,-9.453152,70.319372
166.992188,-9.309470,69.977187
169.921875,-9.168622,69.635479
172.851562,-9.030519,69.294243
175.781250,-8.895070,68.953499
178.710938,-8.762196,68.613232
181.640625,-8.631815,68.273485
184.570312,-8.503852,67.934216
187.500000,-8.378232,67.595479
190.429688,-8.254893,67.257248
193.359375,-8.133761,66.919550
196.289062,-8.014782,66.582371
199.218750,-7.897890,66.245738
202.148438,-7.783030,65.909638
205.078125,-7.670147,65.574085
208.007812,-7.559186,65.239085
210.937500,-7.450099,64.904644
213.867188,-7.342838,64.570764
216.796875,-7.237355,64.237451
219.726562,-7.133607,63.904712
222.656250,-7.031548,63.572566
225.585938,-6.931139,63.240995
228.515625,-6.832341,62.910011
231.445312,-6.735114,62.579628
234.375000,-6.639422,62.249839
237.304688,-6.545229,61.920658
240.234375,-6.452501,61.592085
243.164062,-6.361205,61.264126
246.093750,-6.271310,60.936789
249.023438,-6.182783,60.610074
251.953125,-6.095597,60.283987
254.882812,-6.009721,59.958536
257.812500,-5.925127,59.633719
260.742188,-5.841791,59.309538
263.671875,-5.759684,58.986012
266.601562,-5.678782,58.663129
269.531250,-5.599061,58.340901
272.460938,-5.520497,58.019329
275.390625,-5.443066,57.698419
278.320312,-5.366746,57.378179
281.250000,-5.291518,57.058598
284.179688,-5.217359,56.739696
287.109375,-5.144248,56.421464
290.039062,-5.072166,56.103915
292.968750,-5.001096,55.787049
295.898438,-4.931015,55.470859
298.828125,-4.861908,55.155369
301.757812,-4.793758,54.840572
304.687500,-4.726545,54.526459
307.617188,-4.660254,54.213052
310.546875,-4.594869,53.900342
313.476562,-4.530375,53.588339
316.406250,-4.466754,53.277040
319.335938,-4.403993,52.966450
322.265625,-4.342078,52.656572
325.195312,-4.280992,52.347406
328.125000,-4.220725,52.038962
331.054688,-4.161261,51.731231
333.984375,-4.102586,51.424224
336.914062,-4.044689,51.117942
339.843750,-3.987557,50.812386
342.773438,-3.931177,50.507555
345.703125,-3.875540,50.203451
348.632812,-3.820630,49.900081
351.562500,-3.766437,49.597449
354.492188,-3.712951,49.295548
357.421875,-3.660162,48.994381
360.351562,-3.608056,48.693955
363.281250,-3.556626,48.394277
366.210938,-3.505859,48.095337
369.140625,-3.455747,47.797131
372.070312,-3.406279,47.499683
375.000000,-3.357447,47.202969
377.929688,-3.309241,46.907011
380.859375,-3.261650,46.611796
383.789062,-3.214668,46.317340
386.718750,-3.168284,46.023628
389.648438,-3.122491,45.730668
392.578125,-3.077280,45.438462
395.507812,-3.032643,45.147007
398.437500,-2.988571,44.856315
401.367188,-2.945058,44.566373
404.296875,-2.902095,44.277183
407.226562,-2.859672,43.988758
410.156250,-2.817786,43.701087
413.085938,-2.776427,43.414178
416.015625,-2.735589,43.128024
418.945312,-2.695265,42.842628
421.875000,-2.655447,42.557997
424.804688,-2.616128,42.274121
427.734375,-2.577303,41.991013
430.664062,-2.538965,41.708656
433.593750,-2.501107,41.427064
436.523438,-2.463723,41.146234
439.453125,-2.426807,40.866166
442.382812,-2.390353,40.586856
445.312500,-2.354354,40.308314
448.242188,-2.318806,40.030526
451.171875,-2.283701,39.753501
454.101562,-2.249036,39.477243
457.031250,-2.214802,39.201741
459.960938,-2.180998,38.927003
462.890625,-2.147616,38.653021
465.820312,-2.114650,38.379806
468.750000,-2.082094,38.107343
471.679688,-2.049949,37.835645
474.609375,-2.018203,37.564709
477.539062,-1.986854,37.294530
480.468750,-1.955897,37.025110
483.398438,-1.925327,36.756448
486.328125,-1.895140,36.488541
489.257812,-1.865330,36.221395
492.187500,-1.835895,35.955000
495.117188,-1.806827,35.689364
498.046875,-1.778125,35.424486
500.976562,-1.749782,35.160356
503.906250,-1.721795,34.896984
506.835938,-1.694160,34.634366
509.765625,-1.666872,34.372497
512.695312,-1.639928,34.111375
515.625000,-1.613324,33.851008
518.554688,-1.587053,33.591393
521.484375,-1.561116,33.332525
524.414062,-1.535506,33.074402
527.343750,-1.510221,32.817024
530.273438,-1.485256,32.560396
533.203125,-1.460607,32.304510
536.132812,-1.436271,32.049365
539.062500,-1.412244,31.794968
541.992188,-1.388525,31.541308
544.921875,-1.365106,31.288386
547.851562,-1.341988,31.036209
550.781250,-1.319166,30.784766
553.710938,-1.296636,30.534064
556.640625,-1.274395,30.284089
559.570312,-1.252439,30.034848
562.500000,-1.230767,29.786342
565.429688,-1.209375,29.538570
568.359375,-1.188259,29.291526
571.289062,-1.167418,29.045209
574.218750,-1.146845,28.799619
577.148438,-1.126542,28.554755
580.078125,-1.106502,28.310615
583.007812,-1.086726,28.067199
585.937500,-1.067207,27.824505
588.867188,-1.047946,27.582531
591.796875,-1.028937,27.341271
594.726562,-1.010179,27.100731
597.656250,-0.991670,26.860906
600.585938,-0.973407,26.621794
603.515625,-0.955385,26.383399
606.445312,-0.937604,26.145705
609.375000,-0.920061,25.908726
