frequency_hz,magnitude_db,phase_degrees
0.000000,-200.000000,0.000000
2.929688,-108.973793,179.783827
5.859375,-96.932868,179.567655
8.789062,-89.889405,179.351486
11.718750,-84.892083,179.135322
14.648438,-81.015964,178.919164
17.578125,-77.849055,178.703014
20.507812,-75.171584,178.486872
23.437500,-72.852367,178.270742
26.367188,-70.806789,178.054623
29.296875,-68.977073,177.838519
32.226562,-67.322011,177.622429
35.156250,-65.811174,177.406356
38.085938,-64.421457,177.190302
41.015625,-63.134898,176.974267
43.945312,-61.937259,176.758254
46.875000,-60.817061,176.542263
49.804688,-59.764916,176.326296
52.734375,-58.773046,176.110356
55.664062,-57.834937,175.894443
58.593750,-56.945076,175.678558
61.523438,-56.098761,175.462704
64.453125,-55.291944,175.246882
67.382812,-54.521117,175.031094
70.312500,-53.783220,174.815340
73.242188,-53.075571,174.599622
76.171875,-52.395799,174.383943
79.101562,-51.741806,174.168303
82.031250,-51.111719,173.952704
84.960938,-50.503865,173.737147
87.890625,-49.916740,173.521634
90.820312,-49.348989,173.306166
93.750000,-48.799385,173.090746
96.679688,-48.266815,172.875374
99.609375,-47.750264,172.660051
102.539062,-47.248808,172.444780
105.468750,-46.761600,172.229562
108.398438,-46.287862,172.014398
111.328125,-45.826878,171.799290
114.257812,-45.377989,171.584239
117.187500,-44.940585,171.369247
120.117188,-44.514103,171.154315
123.046875,-44.098018,170.939445
125.976562,-43.691844,170.724638
128.906250,-43.295128,170.509896
131.835938,-42.907448,170.295220
134.765625,-42.528409,170.080611
137.695312,-42.157641,169.866071
140.625000,-41.794799,169.651602
143.554688,-41.439558,169.437205
146.484375,-41.091614,169.222881
149.414062,-40.750680,169.008632
152.343750,-40.416486,168.794459
155.273438,-40.088777,168.580364
158.203125,-39.767314,168.366348
161.132812,-39.451868,168.152412
164.062500,-39.142225,167.938559
166.992188,-38.838182,167.724789
169.921875,-38.539546,167.511103
172.851562,-38.246134,167.297504
175.781250,-37.957772,167.083993
178.710938,-37.674296,166.870571
181.640625,-37.395548,166.657239
184.570312,-37.121379,166.443999
187.500000,-36.851646,166.230852
190.429688,-36.586213,166.017801
193.359375,-36.324951,165.804845
196.289062,-36.067736,165.591986
199.218750,-35.814451,165.379227
202.148438,-35.564981,165.166568
205.078125,-35.319218,164.954010
208.007812,-35.077059,164.741556
210.937500,-34.838405,164.529205
213.867188,-34.603161,164.316961
216.796875,-34.371235,164.104823
219.726562,-34.142539,163.892794
222.656250,-33.916990,163.680875
225.585938,-33.694506,163.469067
228.515625,-33.475010,163.257372
231.445312,-33.258427,163.045790
234.375000,-33.044686,162.834323
237.304688,-32.833716,162.622973
240.234375,-32.625452,162.411741
243.164062,-32.419829,162.200628
246.093750,-32.216784,161.989635
249.023438,-32.016259,161.778764
251.953125,-31.818195,161.568016
254.882812,-31.622537,161.357393
257.812500,-31.429231,161.146895
260.742188,-31.238225,160.936524
263.671875,-31.049468,160.726281
266.601562,-30.862913,160.516168
269.531250,-30.678512,160.306186
272.460938,-30.496220,160.096336
275.390625,-30.315992,159.886619
278.320312,-30.137786,159.677036
281.250000,-29.961561,159.467590
284.179688,-29.787277,159.258281
287.109375,-29.614895,159.049109
290.039062,-29.444378,158.840078
292.968750,-29.275688,158.631187
295.898438,-29.108790,158.422439
298.828125,-28.943651,158.213834
301.757812,-28.780237,158.005373
304.687500,-28.618515,157.797058
307.617188,-28.458454,157.588890
310.546875,-28.300024,157.380870
313.476562,-28.143194,157.172999
316.406250,-27.987936,156.965279
319.335938,-27.834222,156.757710
322.265625,-27.682024,156.550295
325.195312,-27.531316,156.343033
328.125000,-27.382071,156.135927
331.054688,-27.234266,155.928977
333.984375,-27.087875,155.722184
336.914062,-26.942874,155.515550
339.843750,-26.799240,155.309076
342.773438,-26.656950,155.102763
345.703125,-26.515983,154.896612
348.632812,-26.376316,154.690625
351.562500,-26.237929,154.484801
354.492188,-26.100801,154.279143
357.421875,-25.964913,154.073652
360.351562,-25.830244,153.868328
363.281250,-25.696775,153.663173
366.210938,-25.564489,153.458188
369.140625,-25.433367,153.253374
372.070312,-25.303390,153.048732
375.000000,-25.174543,152.844263
377.929688,-25.046808,152.639968
380.859375,-24.920168,152.435848
383.789062,-24.794608,152.231905
386.718750,-24.670111,152.028139
389.648438,-24.546662,151.824551
392.578125,-24.424247,151.621143
395.507812,-24.302850,151.417915
398.437500,-24.182456,151.214869
401.367188,-24.063053,151.012005
404.296875,-23.944625,150.809324
407.226562,-23.827160,150.606828
410.156250,-23.710644,150.404517
413.085938,-23.595065,150.202393
416.015625,-23.480409,150.000457
418.945312,-23.366665,149.798708
421.875000,-23.253819,149.597149
424.804688,-23.141861,149.395781
427.734375,-23.030778,149.194604
430.664062,-22.920559,148.993619
433.593750,-22.811193,148.792827
436.523438,-22.702669,148.592229
439.453125,-22.594976,148.391827
442.382812,-22.488104,148.191620
445.312500,-22.382042,147.991610
448.242188,-22.276780,147.791799
451.171875,-22.172309,147.592185
454.101562,-22.068617,147.392772
457.031250,-21.965697,147.193559
459.960938,-21.863538,146.994547
462.890625,-21.762131,146.795738
465.820312,-21.661467,146.597132
468.750000,-21.561537,146.398730
471.679688,-21.462334,146.200533
474.609375,-21.363847,146.002541
477.539062,-21.266068,145.804757
480.468750,-21.168990,145.607179
483.398438,-21.072605,145.409810
486.328125,-20.976903,145.212650
489.257812,-20.881878,145.015700
492.187500,-20.787522,144.818960
495.117188,-20.693827,144.622432
498.046875,-20.600785,144.426116
500.976562,-20.508391,144.230014
503.906250,-20.416635,144.034125
506.835938,-20.325512,143.838451
509.765625,-20.235014,143.642993
512.695312,-20.145135,143.447750
515.625000,-20.055867,143.252725
518.554688,-19.967205,143.057917
521.484375,-19.879142,142.863328
524.414062,-19.791671,142.668958
527.343750,-19.704786,142.474808
530.273438,-19.618481,142.280878
533.203125,-19.532749,142.087170
536.132812,-19.447586,141.893684
539.062500,-19.362985,141.700421
541.992188,-19.278940,141.507382
544.921875,-19.195445,141.314566
547.851562,-19.112496,141.121976
550.781250,-19.030086,140.929611
553.710938,-18.948209,140.737472
556.640625,-18.866862,140.545560
559.570312,-18.786038,140.353875
562.500000,-18.705731,140.162419
565.429688,-18.625938,139.971192
568.359375,-18.546653,139.780194
571.289062,-18.467871,139.589426
574.218750,-18.389588,139.398889
577.148438,-18.311797,139.208584
580.078125,-18.234495,139.018510
583.007812,-18.157677,138.828669
585.937500,-18.081339,138.639061
588.867188,-18.005475,138.449687
591.796875,-17.930081,138.260547
594.726562,-17.855153,138.071643
597.656250,-17.780687,137.882973
600.585938,-17.706678,137.694540
603.515625,-17.633122,137.506344
606.445312,-17.560015,137.318384
609.375000,-17.487353,137.130663
612.304688,-17.415131,136.943179
615.234375,-17.343346,136.755935
618.164062,-17.271994,136.568930
621.093750,-17.201070,136.382164
624.023438,-17.130571,136.195639
626.953125,-17.060494,136.009355
629.882812,-16.990834,135.823313
632.812500,-16.921588,135.637512
635.742188,-16.852752,135.451954
638.671875,-16.784322,135.266638
641.601562,-16.716296,135.081566
644.531250,-16.648669,134.896738
647.460938,-16.581438,134.712154
650.390625,-16.514600,134.527814
653.320312,-16.448150,134.343720
656.250000,-16.382087,134.159872
659.179688,-16.316407,133.976269
662.109375,-16.251106,133.792914
665.039062,-16.186181,133.609805
667.968750,-16.121629,133.426943
670.898438,-16.057447,133.244329
673.828125,-15.993632,133.061964
676.757812,-15.930181,132.879847
679.687500,-15.867091,132.697978
682.617188,-15.804358,132.516360
685.546875,-15.741981,132.334991
688.476562,-15.679955,132.153872
691.406250,-15.618279,131.973004
694.335938,-15.556949,131.792386
697.265625,-15.495962,131.612020
700.195312,-15.435317,131.431905
703.125000,-15.375009,131.252043
706.054688,-15.315036,131.072432
708.984375,-15.255397,130.893075
711.914062,-15.196087,130.713970
714.843750,-15.137105,130.535118
717.773438,-15.078448,130.356520
720.703125,-15.020113,130.178176
723.632812,-14.962098,130.000087
726.562500,-14.904400,129.822251
729.492188,-14.847017,129.644671
732.421875,-14.789947,129.467345
735.351562,-14.733186,129.290275
738.281250,-14.676733,129.113461
741.210938,-14.620586,128.936903
744.140625,-14.564742,128.760601
747.070312,-14.509198,128.584555
750.000000,-14.453952,128.408766
752.929688,-14.399003,128.233234
755.859375,-14.344348,128.057959
758.789062,-14.289985,127.882942
761.718750,-14.235911,127.708183
764.648438,-14.182124,127.533681
767.578125,-14.128623,127.359437
770.507812,-14.075405,127.185452
773.437500,-14.022468,127.011726
776.367188,-13.969810,126.838258
779.296875,-13.917430,126.665050
782.226562,-13.865324,126.492100
785.156250,-13.813491,126.319410
788.085938,-13.761929,126.146979
791.015625,-13.710636,125.974809
793.945312,-13.659611,125.802898
796.875000,-13.608850,125.631247
799.804688,-13.558353,125.459857
802.734375,-13.508117,125.288727
805.664062,-13.458141,125.117857
808.593750,-13.408423,124.947249
811.523438,-13.358960,124.776901
814.453125,-13.309752,124.606814
817.382812,-13.260795,124.436989
820.312500,-13.212090,124.267424
823.242188,-13.163633,124.098121
826.171875,-13.115423,123.929080
829.101562,-13.067459,123.760300
832.031250,-13.019738,123.591782
834.960938,-12.972259,123.423526
837.890625,-12.925021,123.255532
840.820312,-12.878021,123.087800
843.750000,-12.831258,122.920330
846.679688,-12.784731,122.753123
849.609375,-12.738437,122.586178
852.539062,-12.692375,122.419495
855.468750,-12.646545,122.253075
858.398438,-12.600943,122.086917
861.328125,-12.555569,121.921022
864.257812,-12.510420,121.755389
867.187500,-12.465497,121.590019
870.117188,-12.420796,121.424912
873.046875,-12.376317,121.260068
875.976562,-12.332057,121.095487
878.906250,-12.288017,120.931169
881.835938,-12.244193,120.767113
884.765625,-12.200585,120.603321
887.695312,-12.157192,120.439791
890.625000,-12.114011,120.276525
893.554688,-12.071042,120.113521
896.484375,-12.028283,119.950781
899.414062,-11.985732,119.788303
902.343750,-11.943389,119.626089
905.273438,-11.901252,119.464138
908.203125,-11.859319,119.302450
911.132812,-11.817590,119.141025
914.062500,-11.776063,118.979862
916.992188,-11.734737,118.818963
919.921875,-11.693610,118.658327
922.851562,-11.652682,118.497954
925.781250,-11.611950,118.337843
928.710938,-11.571414,118.177996
931.640625,-11.531073,118.018411
934.570312,-11.490924,117.859090
937.500000,-11.450968,117.700030
940.429688,-11.411202,117.541234
943.359375,-11.371626,117.382700
946.289062,-11.332239,117.224429
949.218750,-11.293038,117.066421
952.148438,-11.254024,116.908675
955.078125,-11.215194,116.751191
958.007812,-11.176548,116.593970
960.937500,-11.138085,116.437011
963.867188,-11.099803,116.280314
966.796875,-11.061702,116.123879
969.726562,-11.023779,115.967706
972.656250,-10.986035,115.811795
975.585938,-10.948468,115.656146
978.515625,-10.911077,115.500759
981.445312,-10.873861,115.345633
984.375000,-10.836818,115.190769
987.304688,-10.799948,115.036166
990.234375,-10.763250,114.881825
993.164062,-10.726722,114.727744
996.093750,-10.690364,114.573925
999.023438,-10.654175,114.420367
1001.953125,-10.618153,114.267069
1004.882812,-10.582298,114.114032
1007.812500,-10.546608,113.961256
1010.742188,-10.511083,113.808740
1013.671875,-10.475722,113.656485
1016.601562,-10.440523,113.504489
1019.531250,-10.405485,113.352754
1022.460938,-10.370609,113.201279
1025.390625,-10.335892,113.050063
1028.320312,-10.301334,112.899107
1031.250000,-10.266933,112.748410
1034.179688,-10.232690,112.597972
1037.109375,-10.198602,112.447794
1040.039062,-10.164670,112.297874
1042.968750,-10.130892,112.148213
1045.898438,-10.097267,111.998811
1048.828125,-10.063794,111.849667
1051.757812,-10.030473,111.700781
1054.687500,-9.997302,111.552154
1057.617188,-9.964281,111.403784
1060.546875,-9.931409,111.255672
1063.476562,-9.898685,111.107817
1066.406250,-9.866108,110.960220
1069.335938,-9.833677,110.812879
1072.265625,-9.801391,110.665796
1075.195312,-9.769251,110.518970
1078.125000,-9.737253,110.372399
1081.054688,-9.705399,110.226086
1083.984375,-9.673687,110.080028
1086.914062,-9.642116,109.934226
1089.843750,-9.610686,109.788680
