frequency_hz,magnitude_db,phase_degrees
0.000000,-199.999951,180.000000
2.929688,-44.131541,89.643919
5.859375,-38.111220,89.287848
8.789062,-34.589861,88.931795
11.718750,-32.091737,88.575769
14.648438,-30.154375,88.219780
17.578125,-28.571773,87.863836
20.507812,-27.234047,87.507947
23.437500,-26.075603,87.152123
26.367188,-25.054133,86.796371
29.296875,-24.140750,86.440701
32.226562,-23.314848,86.085122
35.156250,-22.561213,85.729644
38.085938,-21.868293,85.374275
41.015625,-21.227106,85.019024
43.945312,-20.630532,84.663900
46.875000,-20.072833,84.308912
49.804688,-19.549314,83.954070
52.734375,-19.056086,83.599381
55.664062,-18.589891,83.244856
58.593750,-18.147973,82.890502
61.523438,-17.727981,82.536328
64.453125,-17.327889,82.182345
67.382812,-16.945944,81.828559
70.312500,-16.580616,81.474980
73.242188,-16.230562,81.121616
76.171875,-15.894598,80.768477
79.101562,-15.571673,80.415570
82.031250,-15.260852,80.062905
84.960938,-14.961296,79.710490
87.890625,-14.672254,79.358332
90.820312,-14.393048,79.006442
93.750000,-14.123063,78.654826
96.679688,-13.861743,78.303494
99.609375,-13.608580,77.952454
102.539062,-13.363111,77.601713
105.468750,-13.124911,77.251281
108.398438,-12.893593,76.901164
111.328125,-12.668797,76.551372
114.257812,-12.450193,76.201912
117.187500,-12.237476,75.852792
120.117188,-12.030363,75.504020
123.046875,-11.828592,75.155604
125.976562,-11.631919,74.807552
128.906250,-11.440116,74.459871
131.835938,-11.252972,74.112568
134.765625,-11.070290,73.765653
137.695312,-10.891883,73.419131
140.625000,-10.717578,73.073011
143.554688,-10.547212,72.727299
146.484375,-10.380633,72.382004
149.414062,-10.217696,72.037132
152.343750,-10.058265,71.692690
155.273438,-9.902213,71.348686
158.203125,-9.749418,71.005127
161.132812,-9.599768,70.662019
164.062500,-9.453152,70.319370
166.992188,-9.309469,69.977186
169.921875,-9.168622,69.635473
172.851562,-9.030518,69.294240
175.781250,-8.895071,68.953491
178.710938,-8.762196,68.613235
181.640625,-8.631814,68.273476
184.570312,-8.503850,67.934222
187.500000,-8.378232,67.595478
190.429688,-8.254891,67.257251
193.359375,-8.133762,66.919547
196.289062,-8.014781,66.582373
199.218750,-7.897890,66.245733
202.148438,-7.783029,65.909634
205.078125,-7.670145,65.574081
208.007812,-7.559186,65.239081
210.937500,-7.450099,64.904639
213.867188,-7.342838,64.570760
216.796875,-7.237355,64.237450
219.726562,-7.133606,63.904715
222.656250,-7.031548,63.572559
