Freq.	V(n002)
1.00000000000000e+00	(-6.00000043616690e+01dB,8.99427042397090e+01°)
1.00069338746258e+00	(-5.99939837677805e+01dB,8.99426645115737e+01°)
1.00138725571133e+00	(-5.99879631739004e+01dB,8.99426247558914e+01°)
1.00208160507963e+00	(-5.99819425800286e+01dB,8.99425849726431e+01°)
1.00277643590108e+00	(-5.99759219861652e+01dB,8.99425451618097e+01°)
1.00347174850950e+00	(-5.99699013923102e+01dB,8.99425053233719e+01°)
1.00416754323897e+00	(-5.99638807984636e+01dB,8.99424654573108e+01°)
1.00486382042379e+00	(-5.99578602046254e+01dB,8.99424255636071e+01°)
1.00556058039847e+00	(-5.99518396107956e+01dB,8.99423856422416e+01°)
1.00625782349778e+00	(-5.99458190169743e+01dB,8.99423456931952e+01°)
1.00695555005672e+00	(-5.99397984231614e+01dB,8.99423057164488e+01°)
1.00765376041051e+00	(-5.99337778293570e+01dB,8.99422657119829e+01°)
1.00835245489460e+00	(-5.99277572355611e+01dB,8.99422256797786e+01°)
1.00905163384468e+00	(-5.99217366417736e+01dB,8.99421856198165e+01°)
1.00975129759669e+00	(-5.99157160479947e+01dB,8.99421455320773e+01°)
1.01045144648677e+00	(-5.99096954542242e+01dB,8.99421054165419e+01°)
1.01115208085131e+00	(-5.99036748604623e+01dB,8.99420652731910e+01°)
1.01185320102693e+00	(-5.98976542667089e+01dB,8.99420251020052e+01°)
1.01255480735049e+00	(-5.98916336729641e+01dB,8.99419849029652e+01°)
1.01325690015909e+00	(-5.98856130792278e+01dB,8.99419446760518e+01°)
1.01395947979003e+00	(-5.98795924855001e+01dB,8.99419044212456e+01°)
1.01466254658088e+00	(-5.98735718917810e+01dB,8.99418641385273e+01°)
1.01536610086943e+00	(-5.98675512980704e+01dB,8.99418238278775e+01°)
1.01607014299370e+00	(-5.98615307043685e+01dB,8.99417834892769e+01°)
1.01677467329196e+00	(-5.98555101106752e+01dB,8.99417431227061e+01°)
1.01747969210269e+00	(-5.98494895169905e+01dB,8.99417027281456e+01°)
1.01818519976462e+00	(-5.98434689233144e+01dB,8.99416623055762e+01°)
1.01889119661673e+00	(-5.98374483296470e+01dB,8.99416218549782e+01°)
1.01959768299819e+00	(-5.98314277359883e+01dB,8.99415813763324e+01°)
